;T1;T2;T3;T4;T5;E;STD
published_weekday_4;0.221803916385;0.0266566721669;0.116307192173;-0.0388654943793;0.14724899234;0.094630255737;0.102290376307
published_weekday_5;0.0872057166091;0.210333574646;0.125692072361;0.246626990497;0.282036973233;0.190379065469;0.0818418147318
published_weekday_6;-0.105662844612;-0.216866032917;-0.238479208743;-0.102547580014;-0.141945988234;-0.161100330904;0.0631781857585
base_weekday_0;-0.23084551889;-0.219765298929;-0.101183401083;-0.149232711387;-0.2452637844;-0.189258142938;0.0615549015199
base_weekday_1;0.185058234857;0.168947324141;0.257717223296;0.0821268912728;0.160402864849;0.170850507683;0.0627143150528
base_weekday_2;-0.111829020833;0.0502202817141;-0.217750127917;-0.118214829991;-0.128099518284;-0.105134643062;0.0969029044445
base_weekday_3;0.230419764397;0.288387132041;0.267408281989;0.313235010169;0.242297368838;0.268349511487;0.0336692738015
base_weekday_4;0.0337842209992;-0.114999144504;-0.0784349770271;-0.199116074337;-0.0474867369451;-0.0812505423628;0.0857498841401
base_weekday_5;-0.112470070225;-0.0947569521261;0.00379072472587;0.0580679487589;0.167450924727;0.00441651517209;0.115061871509
base_weekday_6;-0.151251832612;-0.243344564642;-0.299777274537;-0.115283003785;-0.312696590019;-0.224470653119;0.088167548099
